season,city,date,team1,venue
2012,Pune,3/5/2012,Mumbai Indians,Subrata Roy Sahara Stadium
2012,Chennai,4/5/2012,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Kolkata,5/5/2012,Kolkata Knight Riders,Eden Gardens
2012,Chandigarh,5/5/2012,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
2012,Mumbai,6/5/2012,Chennai Super Kings,Wankhede Stadium
2012,Bangalore,6/5/2012,Deccan Chargers,M Chinnaswamy Stadium
2012,Delhi,7/5/2012,Delhi Daredevils,Feroz Shah Kotla
2012,Pune,8/5/2012,Pune Warriors,Subrata Roy Sahara Stadium
2012,Hyderabad,8/5/2012,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
2012,Mumbai,9/5/2012,Mumbai Indians,Wankhede Stadium
2012,Jaipur,10/5/2012,Rajasthan Royals,Sawai Mansingh Stadium
2012,Pune,11/5/2012,Royal Challengers Bangalore,Subrata Roy Sahara Stadium
2012,Kolkata,12/5/2012,Mumbai Indians,Eden Gardens
2012,Chennai,12/5/2012,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
2012,Jaipur,13/05/12,Rajasthan Royals,Sawai Mansingh Stadium
2012,Chandigarh,13/05/12,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali"
2012,Bangalore,14/05/12,Royal Challengers Bangalore,M Chinnaswamy Stadium
2012,Kolkata,14/05/12,Kolkata Knight Riders,Eden Gardens
2012,Delhi,15/05/12,Kings XI Punjab,Feroz Shah Kotla
2012,Mumbai,16/05/12,Kolkata Knight Riders,Wankhede Stadium
2012,Dharamsala,17/05/12,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium
2012,Delhi,17/05/12,Royal Challengers Bangalore,Feroz Shah Kotla
2012,Hyderabad,18/05/12,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
2012,Dharamsala,19/05/12,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2012,Pune,19/05/12,Kolkata Knight Riders,Subrata Roy Sahara Stadium
2012,Hyderabad,20/05/12,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2012,Jaipur,20/05/12,Rajasthan Royals,Sawai Mansingh Stadium
